train_loss2,step,train_loss1,epoch,test_acc,train_acc1,train_acc2
0.01468387246131897,49,0.014279935508966446,0,,,
0.01417173258960247,99,0.013544191606342793,0,,,
0.01309721078723669,149,0.012128439731895924,0,,,
0.013545971363782883,199,0.012519914656877518,0,,,
0.01182851754128933,249,0.011310852132737637,0,,,
0.01213952898979187,299,0.011536350473761559,0,,,
0.013002338819205761,349,0.012246424332261086,0,,,
,389,,0,0.5285000205039978,0.41574519872665405,0.38331329822540283
0.010395193472504616,399,0.010067213326692581,1,,,
0.010465394705533981,449,0.009750579483807087,1,,,
0.008849023841321468,499,0.008052201010286808,1,,,
0.009272935800254345,549,0.009181198664009571,1,,,
0.009844882413744926,599,0.010765982791781425,1,,,
0.009731845930218697,649,0.009072716347873211,1,,,
0.006819889415055513,699,0.006602012552320957,1,,,
0.008243870921432972,749,0.007653525099158287,1,,,
,779,,1,0.6269999742507935,0.5839543342590332,0.5584134459495544
0.007838336750864983,799,0.007207818794995546,2,,,
0.0081833740696311,849,0.007182732690125704,2,,,
0.007238585036247969,899,0.006865309551358223,2,,,
0.006354181561619043,949,0.005681936629116535,2,,,
0.006117397453635931,999,0.005924403201788664,2,,,
0.006309599615633488,1049,0.0053517804481089115,2,,,
0.00620651850476861,1099,0.006242912262678146,2,,,
0.006634403020143509,1149,0.006289587821811438,2,,,
,1169,,2,0.6923999786376953,0.6567507982254028,0.6413862109184265
0.005805284716188908,1199,0.004775833338499069,3,,,
0.004710861947387457,1249,0.004834330175071955,3,,,
0.006030209828168154,1299,0.005621888674795628,3,,,
0.005478853825479746,1349,0.005522586405277252,3,,,
0.006486291531473398,1399,0.006016553845256567,3,,,
0.004360306542366743,1449,0.004026973620057106,3,,,
0.005983359646052122,1499,0.006081605330109596,3,,,
0.004743372555822134,1549,0.0041904328390955925,3,,,
,1559,,3,0.7350999712944031,0.7017627954483032,0.6917067170143127
0.005227385088801384,1599,0.005530363880097866,4,,,
0.006162883713841438,1649,0.005448824260383844,4,,,
0.004510167986154556,1699,0.004857360851019621,4,,,
0.0031256643123924732,1749,0.003061159746721387,4,,,
0.005655200220644474,1799,0.0047444067895412445,4,,,
0.004039337392896414,1849,0.0033915266394615173,4,,,
0.00583047978579998,1899,0.005859272554516792,4,,,
0.004207731690257788,1949,0.004380254540592432,4,,,
,1949,,4,0.7804999947547913,0.7303285002708435,0.7252404093742371
0.0029670684598386288,1999,0.003708113683387637,5,,,
0.003657040884718299,2049,0.003925800789147615,5,,,
0.00337222870439291,2099,0.0035632888320833445,5,,,
0.0045339493080973625,2149,0.004323915112763643,5,,,
0.0027382196858525276,2199,0.002578854328021407,5,,,
0.0023431857116520405,2249,0.002739771269261837,5,,,
0.006450604181736708,2299,0.006185002624988556,5,,,
,2339,,5,0.7405999898910522,0.7502604126930237,0.747616171836853
0.002471581334248185,2349,0.0029110622126609087,6,,,
0.0033187749795615673,2399,0.0027276165783405304,6,,,
0.0024512873496860266,2449,0.0036183055490255356,6,,,
0.003740642685443163,2499,0.003194872522726655,6,,,
0.0020801271311938763,2549,0.0026039963122457266,6,,,
0.0037779330741614103,2599,0.003786218585446477,6,,,
0.0034177671186625957,2649,0.0036727364640682936,6,,,
0.002109275897964835,2699,0.0022213917691260576,6,,,
,2729,,6,0.8073999881744385,0.7621194124221802,0.7606770992279053
0.002939722267910838,2749,0.003186615649610758,7,,,
0.002468471648171544,2799,0.00239049200899899,7,,,
0.002987847663462162,2849,0.0035791886039078236,7,,,
0.0018870134372264147,2899,0.0020004401449114084,7,,,
0.0025858788285404444,2949,0.002699942560866475,7,,,
0.002937200479209423,2999,0.0030381260439753532,7,,,
0.0030579138547182083,3049,0.0026677607093006372,7,,,
0.0013484230730682611,3099,0.0009960721945390105,7,,,
,3119,,7,0.8119999766349792,0.7765224575996399,0.7749999761581421
0.0023351814597845078,3149,0.0020380569621920586,8,,,
0.0019434562418609858,3199,0.0016968706622719765,8,,,
0.0007802816107869148,3249,0.0010997153585776687,8,,,
0.003869814332574606,3299,0.00405226880684495,8,,,
0.002656024880707264,3349,0.002323674038052559,8,,,
0.00222326023504138,3399,0.0011488227173686028,8,,,
0.003168122610077262,3449,0.002264813520014286,8,,,
0.0022083627991378307,3499,0.0021913719829171896,8,,,
,3509,,8,0.8109999895095825,0.7852764129638672,0.7858774065971375
0.0018600851763039827,3549,0.001628720317967236,9,,,
0.0016128302086144686,3599,0.0020859655924141407,9,,,
0.0023362895008176565,3649,0.0019029269460588694,9,,,
0.0017153797671198845,3699,0.001455102814361453,9,,,
0.002137188334017992,3749,0.002191852079704404,9,,,
0.0029746610671281815,3799,0.0024932436645030975,9,,,
0.000950377550907433,3849,0.0019245563307777047,9,,,
0.0035863423254340887,3899,0.003468506969511509,9,,,
,3899,,9,0.8033000230789185,0.788281261920929,0.7864983677864075
0.0026285783387720585,3949,0.002866713795810938,10,,,
0.001140490174293518,3999,0.0006330671021714807,10,,,
0.0009594776784069836,4049,0.0010836711153388023,10,,,
0.000803731323685497,4099,0.0008585967007093132,10,,,
0.0008743295911699533,4149,0.0014276679139584303,10,,,
0.003130745841190219,4199,0.003300381824374199,10,,,
0.002768926788121462,4249,0.0023483524564653635,10,,,
,4289,,10,0.8241000175476074,0.7950921654701233,0.7961137890815735
0.0014644215116277337,4299,0.0012921311426907778,11,,,
0.0021944039035588503,4349,0.003172885859385133,11,,,
0.0024168072268366814,4399,0.002247157273814082,11,,,
0.0021217644680291414,4449,0.0019382757600396872,11,,,
0.0016885400982573628,4499,0.0016502373619005084,11,,,
0.0010552916210144758,4549,0.0015727458521723747,11,,,
0.0010277462424710393,4599,0.0011687355581671,11,,,
0.0011143282754346728,4649,0.0014569032937288284,11,,,
,4679,,11,0.8245999813079834,0.7991586327552795,0.7997596263885498
0.0018406216986477375,4699,0.0009361420525237918,12,,,
0.0007978965295478702,4749,0.0010540938237681985,12,,,
0.0006871632649563253,4799,0.0011738964822143316,12,,,
0.001096329651772976,4849,0.000803269911557436,12,,,
0.00222022901289165,4899,0.002016147132962942,12,,,
0.0006736345821991563,4949,0.00047139512025751173,12,,,
0.0006663918029516935,4999,0.0008049028110690415,12,,,
0.0008524583536200225,5049,0.0007840709877200425,12,,,
,5069,,12,0.8396999835968018,0.8049679398536682,0.8055689334869385
0.0018526212079450488,5099,0.0011454342165961862,13,,,
0.001937160617671907,5149,0.0014463758561760187,13,,,
0.0016573236789554358,5199,0.001462990534491837,13,,,
0.0008023242116905749,5249,0.0012821451527997851,13,,,
0.0002972648071590811,5299,0.0003253258182667196,13,,,
0.001303047756664455,5349,0.0006649453425779939,13,,,
0.00039350922452285886,5399,0.0008733973954804242,13,,,
0.0015920312143862247,5449,0.002428536769002676,13,,,
,5459,,13,0.8392000198364258,0.810857355594635,0.8087940812110901
0.0018073738319799304,5499,0.0017099527176469564,14,,,
0.0018553046975284815,5549,0.001673759426921606,14,,,
0.0015572011470794678,5599,0.0009998938767239451,14,,,
0.001917577814310789,5649,0.0019406373612582684,14,,,
0.0015017781406641006,5699,0.0014887904981151223,14,,,
0.0019823818001896143,5749,0.0018005133606493473,14,,,
0.0015928749926388264,5799,0.0014371132710948586,14,,,
0.0009637814946472645,5849,0.0016994054894894361,14,,,
,5849,,14,0.8409000039100647,0.8136017918586731,0.815625011920929
0.0009951333049684763,5899,0.0017069346504285932,15,,,
0.0006037427228875458,5949,0.0011166034964844584,15,,,
0.0012050498044118285,5999,0.00045321419020183384,15,,,
0.0007969828438945115,6049,0.001775082666426897,15,,,
0.002089862246066332,6099,0.0014312479179352522,15,,,
0.0009192561847157776,6149,0.0019039129838347435,15,,,
0.0012931141536682844,6199,0.0008028718293644488,15,,,
,6239,,15,0.8483999967575073,0.8148437738418579,0.818088948726654
0.0014830026775598526,6249,0.0016469608526676893,16,,,
0.0019900393672287464,6299,0.0017135289963334799,16,,,
0.0015014815144240856,6349,0.002031466690823436,16,,,
0.0009191522258333862,6399,0.0012088128132745624,16,,,
0.0024046769831329584,6449,0.002556426916271448,16,,,
0.0007093173335306346,6499,0.000912007293663919,16,,,
0.0019845583010464907,6549,0.0005513809737749398,16,,,
